CLT_ID,FEE_AMT,AMOUNT_EARNED_US,AMOUNT_EARNED_CLT,TOTAL_AMOUNT_EARNED
439,"$1,511.00","$3,139.23","$2,442.34","$5,581.57"
440,"$4,955.41","$11,640.26","$9,069.86","$20,710.12"
5013,$60.00,$137.53,$166.30,$303.83
5028,$0.00,$3.86,$10.44,$14.30
5045,$45.30,$282.28,$355.49,$637.77
5046,$185.02,$434.79,$305.27,$740.06
5055,$588.97,"$1,113.45",$641.09,"$1,754.54"
5064,"$1,965.76","$5,451.26","$5,228.35","$10,679.61"
5072,$19.02,$9.51,-$9.51,$0.00
510,$190.27,$551.48,$592.38,"$1,143.86"
531,"$2,113.23","$4,699.17","$3,499.87","$8,199.04"
549,$74.33,$329.92,$460.65,$790.57
558,$242.70,$383.57,$251.98,$635.55
564,$511.10,"$1,254.93","$1,447.33","$2,702.26"
565,"$1,550.06","$2,670.96","$1,726.59","$4,397.55"
566,$0.00,$16.00,$24.00,$40.00
593,$294.32,$558.92,$323.40,$882.32
594,$0.00,$27.72,$56.28,$84.00
600,"$11,585.75","$20,793.61","$14,354.54","$35,148.15"
6000,"$3,411.97","$5,161.07","$3,221.23","$8,382.30"
601,"$9,455.42","$20,015.23","$16,740.13","$36,755.36"
6045,$84.60,$548.09,$587.40,"$1,135.49"
608,$0.00,$6.00,$9.00,$15.00
622,$0.00,$24.64,$36.96,$61.60
627,"$1,223.53","$2,981.74","$2,851.44","$5,833.18"
661,"$4,776.89","$15,840.00","$16,859.41","$32,699.41"
668,"$1,297.75","$3,248.83","$2,798.09","$6,046.92"
676,$0.00,$2.78,$7.16,$9.94
681,$96.93,$454.89,$437.49,$892.38
684,$0.00,$1.35,$3.65,$5.00
693,$782.35,"$1,367.86",$760.21,"$2,128.07"
696,$656.61,$890.41,$350.70,"$1,241.11"
700,"$71,257.15","$143,342.43","$137,153.77","$280,496.20"
705,$0.00,$101.37,$191.00,$292.37
706,"$4,237.53","$7,863.10","$5,608.11","$13,471.21"
707,$631.75,"$1,251.33",$757.35,"$2,008.68"
732,$751.20,"$1,325.68",$718.14,"$2,043.82"
746,$783.43,"$2,171.36","$1,696.41","$3,867.77"
747,"$1,116.03","$4,267.29","$4,255.33","$8,522.62"
752,"$12,266.35","$23,073.50","$16,589.66","$39,663.16"
755,$0.00,$2.20,$5.66,$7.86
758,"$4,469.23","$8,961.39","$5,926.12","$14,887.51"
766,$0.00,$23.91,$29.22,$53.13
768,$0.00,$9.39,$24.13,$33.52
775,$0.00,$283.87,$527.20,$811.07
778,"$3,114.96","$5,455.29","$3,621.89","$9,077.18"
791,$893.83,"$1,878.95","$1,742.73","$3,621.68"
793,"$5,907.31","$14,975.41","$9,083.93","$24,059.34"
795,$96.58,$105.55,$10.94,$116.49
796,$53.70,$154.61,$123.34,$277.95
802,$0.00,$85.21,$158.26,$243.47
803,$194.91,$513.17,$529.99,"$1,043.16"
805,"$1,192.64","$2,041.48","$1,301.14","$3,342.62"
807,$451.50,"$2,142.55","$2,844.96","$4,987.51"
808,$565.00,"$1,236.23","$1,006.85","$2,243.08"
810,$0.00,$33.41,$51.46,$84.87
814,$144.91,$293.07,$181.09,$474.16
816,$407.77,$980.69,$892.07,"$1,872.76"
828,$49.72,$61.99,$18.41,$80.40
832,$939.35,"$2,123.56","$1,656.15","$3,779.71"
842,$0.00,$78.72,$146.18,$224.90
847,$331.25,"$1,560.39","$1,915.64","$3,476.03"
858,"$3,951.78","$7,472.10","$5,425.69","$12,897.79"
864,$0.00,$150.00,$450.00,$600.00
870,$730.89,"$1,677.72","$1,186.08","$2,863.80"
871,"$1,757.19","$3,211.34","$1,994.27","$5,205.61"
872,"$1,210.63","$2,813.67","$2,222.66","$5,036.33"
873,"$1,068.47","$2,155.08","$1,414.69","$3,569.77"
874,$0.00,$199.79,$244.18,$443.97
875,"$2,545.53","$5,191.41","$3,429.88","$8,621.29"
876,"$2,379.24","$5,634.00","$4,235.45","$9,869.45"
878,"$2,090.53","$3,962.39","$2,506.21","$6,468.60"
879,$321.32,$424.82,$126.50,$551.32
